throughput tt=0.168825  s=18.0525 is t=3.04771
throughput tt=0.196792  s=30.9739 is t=6.09543
throughput tt=0.22476  s=40.6796 is t=9.14314
throughput tt=0.252727  s=48.2372 is t=12.1909
throughput tt=0.289151  s=52.701 is t=15.2386
throughput tt=0.317119  s=57.6638 is t=18.2863
throughput tt=0.345086  s=61.8222 is t=21.334
throughput tt=0.373054  s=65.3571 is t=24.3817
throughput tt=0.401021  s=68.399 is t=27.4294
throughput tt=0.437445  s=69.6708 is t=30.4771
throughput tt=0.465412  s=72.0326 is t=33.5248
throughput tt=0.49338  s=74.1266 is t=36.5726
throughput tt=0.521347  s=75.9959 is t=39.6203
throughput tt=0.549315  s=77.6749 is t=42.668
throughput tt=0.585739  s=78.0479 is t=45.7157
throughput tt=0.613706  s=79.4573 is t=48.7634
throughput tt=0.641674  s=80.7437 is t=51.8111
throughput tt=0.669641  s=81.9227 is t=54.8588
throughput tt=0.697609  s=83.0072 is t=57.9066
throughput tt=0.734033  s=83.0403 is t=60.9543
throughput tt=0.762  s=83.9921 is t=64.002
throughput tt=0.789968  s=84.8765 is t=67.0497
throughput tt=0.817935  s=85.7005 is t=70.0974
throughput tt=0.845902  s=86.4699 is t=73.1451
throughput tt=0.882326  s=86.3545 is t=76.1928
throughput tt=0.910294  s=87.0494 is t=79.2405
throughput tt=0.938261  s=87.7029 is t=82.2883
throughput tt=0.966229  s=88.3186 is t=85.336
throughput tt=0.994196  s=88.8996 is t=88.3837
throughput tt=1.03062  s=88.7149 is t=91.4314
throughput tt=1.05859  s=89.2501 is t=94.4791
throughput tt=1.08656  s=89.7578 is t=97.5268
throughput tt=1.11452  s=90.24 is t=100.575
throughput tt=1.14249  s=90.6986 is t=103.622
throughput tt=1.17891  s=90.4815 is t=106.67
throughput tt=1.20688  s=90.9101 is t=109.718
throughput tt=1.23485  s=91.3192 is t=112.765
throughput tt=1.26282  s=91.7102 is t=115.813
throughput tt=1.29078  s=92.0842 is t=118.861
throughput tt=1.32721  s=91.8534 is t=121.909
throughput tt=1.35518  s=92.2067 is t=124.956
throughput tt=1.49862  s=85.4145 is t=128.004
throughput tt=1.52676  s=85.8366 is t=131.052
throughput tt=1.55489  s=86.2436 is t=134.099
throughput tt=1.58253  s=86.6633 is t=137.147
throughput tt=1.6105  s=87.0507 is t=140.195
throughput tt=1.64774  s=86.9325 is t=143.243
throughput tt=1.67489  s=87.3433 is t=146.29
throughput tt=1.70862  s=87.4027 is t=149.338
throughput tt=1.73082  s=88.0424 is t=152.386
throughput tt=1.75879  s=88.3752 is t=155.433
throughput tt=1.79521  s=88.2798 is t=158.481
throughput tt=1.82318  s=88.5972 is t=161.529
throughput tt=1.85115  s=88.9051 is t=164.577
throughput tt=1.88389  s=88.9776 is t=167.624
throughput tt=1.90708  s=89.4937 is t=170.672
throughput tt=1.94598  s=89.2711 is t=173.72
throughput tt=1.97411  s=89.5428 is t=176.767
throughput tt=1.99944  s=89.9326 is t=179.815
throughput tt=2.0284  s=90.1514 is t=182.863
throughput tt=2.05538  s=90.4508 is t=185.911
throughput tt=2.09213  s=90.3186 is t=188.958
throughput tt=2.12323  s=90.4311 is t=192.006
throughput tt=2.14774  s=90.8183 is t=195.054
throughput tt=2.1757  s=91.0516 is t=198.101
throughput tt=2.20367  s=91.2791 is t=201.149
throughput tt=2.24009  s=91.1554 is t=204.197
throughput tt=2.26806  s=91.3751 is t=207.245
throughput tt=2.29603  s=91.5895 is t=210.292
throughput tt=2.32861  s=91.6169 is t=213.34
throughput tt=2.35196  s=92.0029 is t=216.388
throughput tt=2.38839  s=91.8759 is t=219.435
throughput tt=2.41636  s=92.0738 is t=222.483
throughput tt=2.4496  s=92.0686 is t=225.531
throughput tt=2.47229  s=92.4561 is t=228.578
throughput tt=2.50718  s=92.3853 is t=231.626
throughput tt=2.53668  s=92.5121 is t=234.674
throughput tt=2.56564  s=92.656 is t=237.722
throughput tt=2.59344  s=92.8378 is t=240.769
throughput tt=2.62058  s=93.0392 is t=243.817
throughput tt=2.64855  s=93.2074 is t=246.865
throughput tt=2.68498  s=93.0781 is t=249.912
throughput tt=2.71294  s=93.242 is t=252.96
throughput tt=2.85639  s=89.6263 is t=256.008
throughput tt=2.89128  s=89.5989 is t=259.056
throughput tt=2.91958  s=89.7744 is t=262.103
throughput tt=2.94672  s=89.9817 is t=265.151
throughput tt=2.97518  s=90.1453 is t=268.199
throughput tt=3.00551  s=90.2497 is t=271.246
throughput tt=3.03364  s=90.4174 is t=274.294
throughput tt=3.06754  s=90.4118 is t=277.342
throughput tt=3.08991  s=90.7437 is t=280.39
throughput tt=3.11804  s=90.9024 is t=283.437
throughput tt=3.15298  s=90.8616 is t=286.485
throughput tt=3.18787  s=90.8233 is t=289.533
throughput tt=3.20892  s=91.1773 is t=292.58
throughput tt=3.24166  s=91.1965 is t=295.628
throughput tt=3.26716  s=91.4176 is t=298.676
throughput tt=3.30375  s=91.3277 is t=301.724
