throughput tt=0.168825  s=18.0525 is t=3.04771
throughput tt=0.196792  s=30.9739 is t=6.09543
throughput tt=0.22476  s=40.6796 is t=9.14314
throughput tt=0.252727  s=48.2372 is t=12.1909
throughput tt=0.289151  s=52.701 is t=15.2386
throughput tt=0.317119  s=57.6638 is t=18.2863
throughput tt=0.345086  s=61.8222 is t=21.334
throughput tt=0.373054  s=65.3571 is t=24.3817
throughput tt=0.401021  s=68.399 is t=27.4294
throughput tt=0.437445  s=69.6708 is t=30.4771
throughput tt=0.465412  s=72.0326 is t=33.5248
throughput tt=0.49338  s=74.1266 is t=36.5726
throughput tt=0.521347  s=75.9959 is t=39.6203
throughput tt=0.549315  s=77.6749 is t=42.668
throughput tt=0.585739  s=78.0479 is t=45.7157
throughput tt=0.613706  s=79.4573 is t=48.7634
throughput tt=0.641674  s=80.7437 is t=51.8111
throughput tt=0.669641  s=81.9227 is t=54.8588
throughput tt=0.697609  s=83.0072 is t=57.9066
throughput tt=0.734033  s=83.0403 is t=60.9543
throughput tt=0.762  s=83.9921 is t=64.002
throughput tt=0.789968  s=84.8765 is t=67.0497
throughput tt=0.817935  s=85.7005 is t=70.0974
throughput tt=0.845902  s=86.4699 is t=73.1451
throughput tt=0.882326  s=86.3545 is t=76.1928
throughput tt=0.910294  s=87.0494 is t=79.2405
throughput tt=0.938261  s=87.7029 is t=82.2883
throughput tt=0.966229  s=88.3186 is t=85.336
throughput tt=0.994196  s=88.8996 is t=88.3837
throughput tt=1.03062  s=88.7149 is t=91.4314
throughput tt=1.05859  s=89.2501 is t=94.4791
throughput tt=1.20212  s=81.129 is t=97.5268
throughput tt=1.23025  s=81.7511 is t=100.575
throughput tt=1.25797  s=82.3724 is t=103.622
throughput tt=1.28998  s=82.6914 is t=106.67
throughput tt=1.31391  s=83.5048 is t=109.718
throughput tt=1.35124  s=83.4534 is t=112.765
throughput tt=1.3783  s=84.0261 is t=115.813
throughput tt=1.40627  s=84.5222 is t=118.861
throughput tt=1.43802  s=84.7751 is t=121.909
throughput tt=1.4622  s=85.4576 is t=124.956
throughput tt=1.50035  s=85.3158 is t=128.004
throughput tt=1.52799  s=85.7672 is t=131.052
throughput tt=1.55456  s=86.2619 is t=134.099
throughput tt=1.58327  s=86.6227 is t=137.147
throughput tt=1.6133  s=86.8996 is t=140.195
throughput tt=1.64947  s=86.8414 is t=143.243
throughput tt=1.67761  s=87.2018 is t=146.29
throughput tt=1.70285  s=87.6986 is t=149.338
throughput tt=1.73082  s=88.0424 is t=152.386
throughput tt=1.75879  s=88.3752 is t=155.433
throughput tt=1.79703  s=88.1908 is t=158.481
throughput tt=1.82318  s=88.5972 is t=161.529
throughput tt=1.85115  s=88.9051 is t=164.577
throughput tt=1.87912  s=89.2038 is t=167.624
throughput tt=1.90824  s=89.4396 is t=170.672
throughput tt=1.94351  s=89.3846 is t=173.72
throughput tt=1.97147  s=89.6625 is t=176.767
throughput tt=2.00397  s=89.7293 is t=179.815
throughput tt=2.02741  s=90.1953 is t=182.863
throughput tt=2.06383  s=90.0802 is t=185.911
throughput tt=2.0918  s=90.3328 is t=188.958
throughput tt=2.23525  s=85.899 is t=192.006
throughput tt=2.26322  s=86.1842 is t=195.054
throughput tt=2.29152  s=86.4499 is t=198.101
throughput tt=2.32434  s=86.5402 is t=201.149
throughput tt=2.35099  s=86.8556 is t=204.197
throughput tt=2.38873  s=86.7591 is t=207.245
throughput tt=2.41769  s=86.9806 is t=210.292
throughput tt=2.44467  s=87.2674 is t=213.34
throughput tt=2.46877  s=87.6501 is t=216.388
throughput tt=2.5006  s=87.7529 is t=219.435
throughput tt=2.53538  s=87.7514 is t=222.483
throughput tt=2.55981  s=88.1046 is t=225.531
throughput tt=2.5858  s=88.3977 is t=228.578
throughput tt=2.61665  s=88.5202 is t=231.626
throughput tt=2.6489  s=88.593 is t=234.674
throughput tt=2.68779  s=88.4449 is t=237.722
throughput tt=2.71593  s=88.6509 is t=240.769
throughput tt=2.74084  s=88.9569 is t=243.817
throughput tt=2.767  s=89.2175 is t=246.865
throughput tt=2.79719  s=89.3441 is t=249.912
throughput tt=2.83172  s=89.3309 is t=252.96
throughput tt=2.86158  s=89.4637 is t=256.008
throughput tt=2.88955  s=89.6526 is t=259.056
throughput tt=2.91233  s=89.9978 is t=262.103
throughput tt=2.94153  s=90.1405 is t=265.151
throughput tt=2.98191  s=89.942 is t=268.199
throughput tt=3.00469  s=90.2744 is t=271.246
throughput tt=3.03784  s=90.2924 is t=274.294
throughput tt=3.06581  s=90.4628 is t=277.342
throughput tt=3.08859  s=90.7824 is t=280.39
throughput tt=3.12551  s=90.6852 is t=283.437
throughput tt=3.15809  s=90.7147 is t=286.485
throughput tt=3.30146  s=87.6985 is t=289.533
throughput tt=3.32959  s=87.8729 is t=292.58
throughput tt=3.35714  s=88.0594 is t=295.628
throughput tt=3.40039  s=87.8359 is t=298.676
throughput tt=3.41349  s=88.3915 is t=301.724
