throughput tt=0.168825  s=18.0525 is t=3.04771
throughput tt=0.196792  s=30.9739 is t=6.09543
throughput tt=0.22476  s=40.6796 is t=9.14314
throughput tt=0.252727  s=48.2372 is t=12.1909
throughput tt=0.289151  s=52.701 is t=15.2386
throughput tt=0.317119  s=57.6638 is t=18.2863
throughput tt=0.345086  s=61.8222 is t=21.334
throughput tt=0.373054  s=65.3571 is t=24.3817
throughput tt=0.401021  s=68.399 is t=27.4294
throughput tt=0.437445  s=69.6708 is t=30.4771
throughput tt=0.465412  s=72.0326 is t=33.5248
throughput tt=0.49338  s=74.1266 is t=36.5726
throughput tt=0.521347  s=75.9959 is t=39.6203
throughput tt=0.549315  s=77.6749 is t=42.668
throughput tt=0.585739  s=78.0479 is t=45.7157
throughput tt=0.613706  s=79.4573 is t=48.7634
throughput tt=0.641674  s=80.7437 is t=51.8111
throughput tt=0.669641  s=81.9227 is t=54.8588
throughput tt=0.697609  s=83.0072 is t=57.9066
throughput tt=0.734033  s=83.0403 is t=60.9543
throughput tt=0.877478  s=72.9385 is t=64.002
throughput tt=0.90545  s=74.0512 is t=67.0497
throughput tt=0.933748  s=75.071 is t=70.0974
throughput tt=0.96435  s=75.8491 is t=73.1451
throughput tt=0.992153  s=76.7954 is t=76.1928
throughput tt=1.0266  s=77.1873 is t=79.2405
throughput tt=1.05374  s=78.0913 is t=82.2883
throughput tt=1.08287  s=78.8057 is t=85.336
throughput tt=1.111  s=79.5535 is t=88.3837
throughput tt=1.13765  s=80.3689 is t=91.4314
throughput tt=1.17407  s=80.4714 is t=94.4791
throughput tt=1.20369  s=81.0235 is t=97.5268
throughput tt=1.23198  s=81.6363 is t=100.575
throughput tt=1.25929  s=82.2862 is t=103.622
throughput tt=1.28825  s=82.8024 is t=106.67
throughput tt=1.32236  s=82.9708 is t=109.718
throughput tt=1.35033  s=83.5094 is t=112.765
throughput tt=1.37896  s=83.9859 is t=115.813
throughput tt=1.40676  s=84.4926 is t=118.861
throughput tt=1.43423  s=84.999 is t=121.909
throughput tt=1.47066  s=84.9662 is t=124.956
throughput tt=1.6141  s=79.3034 is t=128.004
throughput tt=1.64208  s=79.8085 is t=131.052
throughput tt=1.67284  s=80.1625 is t=134.099
throughput tt=1.69801  s=80.7693 is t=137.147
throughput tt=1.72812  s=81.1257 is t=140.195
throughput tt=1.76586  s=81.1176 is t=143.243
throughput tt=1.79136  s=81.6644 is t=146.29
throughput tt=1.82295  s=81.921 is t=149.338
throughput tt=1.84976  s=82.3811 is t=152.386
throughput tt=1.87773  s=82.7772 is t=155.433
throughput tt=1.91251  s=82.8656 is t=158.481
throughput tt=1.94048  s=83.2418 is t=161.529
throughput tt=1.96811  s=83.6215 is t=164.577
throughput tt=1.9946  s=84.0391 is t=167.624
throughput tt=2.02257  s=84.3839 is t=170.672
throughput tt=2.06245  s=84.2298 is t=173.72
throughput tt=2.09042  s=84.5608 is t=176.767
throughput tt=2.11558  s=84.9955 is t=179.815
throughput tt=2.14586  s=85.2166 is t=182.863
throughput tt=2.17745  s=85.3799 is t=185.911
throughput tt=2.20728  s=85.6067 is t=188.958
throughput tt=2.35419  s=81.5591 is t=192.006
throughput tt=2.382  s=81.8866 is t=195.054
throughput tt=2.40634  s=82.3248 is t=198.101
throughput tt=2.43513  s=82.603 is t=201.149
throughput tt=2.46952  s=82.6867 is t=204.197
throughput tt=2.49903  s=82.93 is t=207.245
throughput tt=2.53045  s=83.1045 is t=210.292
throughput tt=2.56188  s=83.2747 is t=213.34
throughput tt=2.58771  s=83.6214 is t=216.388
throughput tt=2.61238  s=83.9982 is t=219.435
throughput tt=2.65424  s=83.8217 is t=222.483
throughput tt=2.67875  s=84.1926 is t=225.531
throughput tt=2.70276  s=84.5722 is t=228.578
throughput tt=2.736  s=84.6587 is t=231.626
throughput tt=2.75919  s=85.0517 is t=234.674
throughput tt=2.79809  s=84.9586 is t=237.722
throughput tt=2.82787  s=85.1417 is t=240.769
throughput tt=2.85781  s=85.316 is t=243.817
throughput tt=2.88248  s=85.6431 is t=246.865
throughput tt=2.9144  s=85.7508 is t=249.912
throughput tt=3.2488  s=77.8626 is t=252.96
throughput tt=3.09082  s=82.8285 is t=256.008
throughput tt=3.11895  s=83.0586 is t=259.056
throughput tt=3.14988  s=83.2105 is t=262.103
throughput tt=3.47188  s=76.3711 is t=265.151
throughput tt=3.23277  s=82.9626 is t=268.199
throughput tt=3.23994  s=83.7197 is t=271.246
throughput tt=3.34557  s=81.9872 is t=274.294
throughput tt=3.29735  s=84.1105 is t=277.342
throughput tt=3.32302  s=84.3781 is t=280.39
throughput tt=3.35593  s=84.4588 is t=283.437
throughput tt=3.52741  s=81.2168 is t=286.485
throughput tt=3.41192  s=84.8593 is t=289.533
throughput tt=3.44532  s=84.9212 is t=292.58
throughput tt=3.65766  s=80.8245 is t=295.628
throughput tt=3.49812  s=85.3817 is t=298.676
throughput tt=3.53916  s=85.2529 is t=301.724
